NumThreads;DeqMops;T_Avg_Deq;EnqMops;T_Avg_Enq;TotalMops
1;12.1713729308666;410.8;12.1713729308666;410.8;24.3427458617332
2;2.88234276820199;1734.7;2.88234276820199;1734.7;5.76468553640398
4;1.72093343429476;2905.4;1.72093343429476;2905.4;3.44186686858952
8;1.67644593461861;2982.5;1.67644593461861;2982.5;3.35289186923722
16;1.43669904028504;3480.2;1.43669904028504;3480.2;2.87339808057008
24;1.29516901955705;3860.5;1.29516901955705;3860.5;2.5903380391141
32;1.12228407254444;4455.2;1.12228407254444;4455.2;2.24456814508888
