NumThreads;T_Avg;TotalMops;MaxMops;MinMops
1;41;24.390243902439;24.40243902439;24.390243902439
2;173.6;5.76036866359447;7.2463768115942;4.58715596330275
4;243.866666666667;4.10060142154183;5.52486187845304;3.25732899022801
8;338.266666666667;2.95624753646039;3.90625;2.26757369614512
16;450.333333333333;2.22057735011103;3.47222222222222;1.65289256198347
24;517.4;1.93274062620796;2.98507462686567;1.49253731343284
32;557.6;1.79340028694405;2.86532951289398;1.48588410104012
48;636.933333333333;1.5700230270044;2.12314225053079;1.41043723554302
64;630.966666666667;1.58486977653336;1.85873605947955;1.41843971631206

