NumThreads;DeqMops;T_Avg_Deq;EnqMops;T_Avg_Enq;TotalMops
1;5.45077946146299;917.3;5.45077946146299;917.3;10.901558922926
2;1.64041994750656;3048;1.64041994750656;3048;3.28083989501312
4;1.00540910096318;4973.1;1.00540910096318;4973.1;2.01081820192636
8;1.19514293909552;4183.6;1.19514293909552;4183.6;2.39028587819103
16;1.68418216114255;2968.8;1.68418216114255;2968.8;3.3683643222851
24;2.26101112417473;2211.4;2.26101112417473;2211.4;4.52202224834946
32;2.68413141507408;1862.8;2.68413141507408;1862.8;5.36826283014816
