NumThreads;DeqMops;T_Avg_Deq;EnqMops;T_Avg_Enq;TotalMops
1;45.5580865603645;219.5;0;0;45.5580865603645
2;17.8539546509552;560.1;0;0;17.8539546509552
4;11.9631534872592;835.9;0;0;11.9631534872592
8;13.0633572828217;765.5;0;0;13.0633572828217
12;13.1423314495992;760.9;0;0;13.1423314495992
16;12.8733264675592;776.8;0;0;12.8733264675592
24;12.0743781695243;828.2;0;0;12.0743781695243
32;11.8595825426945;843.2;0;0;11.8595825426945
