NumThreads;T_Avg;TotalMops;MaxMops;MinMops
1;10.2;98.0392156862745;100;90.9090909090909
2;5.46666666666667;182.926829268293;200;111.111111111111
4;3.13333333333333;319.148936170213;333.333333333333;250
8;2.56666666666667;389.61038961039;500;250
16;3.23333333333333;309.278350515464;333.333333333333;250
24;4.26666666666667;234.375;333.333333333333;200
32;5;200;333.333333333333;142.857142857143
48;6.56666666666667;152.284263959391;200;125
64;7.66666666666667;130.434782608696;200;100
