NumThreads;T_Avg;TotalMops
1;22.2333333333333;44.9775112443778
2;50.7333333333333;19.7109067017083
4;96.1;10.4058272632674
8;78.7;12.7064803049555
16;79.7666666666667;12.5365649811952
24;85.1;11.7508813160987
32;86.5666666666667;11.5517905275318
48;87.1333333333334;11.4766641162969
64;90.0333333333333;11.1069974083673

