NumThreads;T_Avg;TotalMops;MaxMops;MinMops
1;27.8666666666667;35.8851674641148;37.037037037037;34.4827586206897
2;157.066666666667;6.36672325976231;7.57575757575758;5.15463917525773
4;358.333333333333;2.7906976744186;4.03225806451613;1.86915887850467
8;532.566666666667;1.87769919258935;2.8169014084507;1.3262599469496
16;688.566666666667;1.45229220119088;2.30414746543779;1.13250283125708
24;772.033333333333;1.29528086006649;2.23713646532438;1.06044538706257
32;832.1;1.20177863237592;1.45560407569141;1.04166666666667
48;899.3;1.1119759813188;1.32450331125828;0.988142292490119
64;947.733333333333;1.05514912774339;1.16686114352392;0.9765625

