NumThreads;T_Avg;TotalMops;MaxMops;MinMops
1;114.733333333333;8.71586287042417;8.84955752212389;8.33333333333333
2;391.3;2.55558395093279;2.84900284900285;1.41643059490085
4;980.533333333333;1.01985314114767;1.40845070422535;0.754147812971342
8;1122.96666666667;0.890498382261272;1.02564102564103;0.725689404934688
16;1271;0.786782061369001;0.909090909090909;0.655307994757536
24;1545.2;0.647165415480197;0.854700854700855;0.593471810089021
32;1738.8;0.575109270761445;0.680272108843537;0.544662309368192
48;1955.86666666667;0.511282295998364;0.547345374931582;0.48828125
64;2139.96666666667;0.467296998395614;0.492125984251969;0.452079566003617

